Year,Season,FF-HadRM3-Q0_afgcx,FF-HadRM3-Q3_afixa,FF-HadRM3-Q4_afixc,FF-HadRM3-Q6_afixh,FF-HadRM3-Q9_afixi,FF-HadRM3-Q8_afixj,FF-HadRM3-Q10_afixk,FF-HadRM3-Q14_afixl,FF-HadRM3-Q11_afixm,FF-HadRM3-Q13_afixo,FF-HadRM3-Q16_afixq
2040,DJF,76.50959999999999,76.34983333333334,83.94516666666667,77.50796666666668,75.3984,79.8616,79.59356666666666,76.30833333333334,77.81313333333334,78.36103333333334,81.19966666666666
2040,MAM,76.70013333333333,79.1378,89.30026666666667,79.69233333333334,80.80673333333333,81.70966666666668,82.2629,80.99833333333333,81.141,83.48793333333333,85.89973333333334
2040,JJA,75.93916666666667,80.13850000000001,84.66373333333333,79.61023333333333,81.1995,82.85603333333334,80.11366666666667,83.4527,79.57983333333333,81.47116666666666,84.21853333333333
2040,SON,76.18633333333334,78.25746666666667,80.9713,77.5693,78.7788,80.8243,78.6828,80.62493333333333,77.48993333333333,78.9704,80.66273333333334
2041,DJF,79.61126666666667,76.3162,80.63693333333333,81.319,78.23316666666666,80.24123333333334,78.306,77.2145,79.75296666666667,77.90746666666666,79.6671
2041,MAM,85.32339999999999,77.42516666666667,85.90963333333333,84.85923333333334,79.34776666666666,85.0193,82.4207,77.79246666666667,81.837,77.88233333333334,86.03316666666666
2041,JJA,83.27596666666666,78.5068,84.2761,84.15053333333333,83.617,83.48346666666667,80.12593333333332,77.00133333333333,79.73146666666666,76.7055,83.23823333333333
2041,SON,80.4449,77.59933333333333,83.96940000000001,81.22636666666666,80.81496666666666,80.64876666666667,77.93849999999999,75.35629999999999,82.26023333333333,75.93616666666667,80.1891
2042,DJF,79.90016666666666,74.33116666666668,83.08890000000001,83.34226666666666,78.1116,83.50026666666666,75.7405,80.56463333333333,80.62423333333334,82.17316666666666,79.55456666666667
2042,MAM,85.45996666666667,74.75866666666667,88.21613333333333,91.76033333333334,81.09976666666667,88.50993333333334,77.88813333333333,82.7564,82.68876666666667,88.18066666666668,83.9413
2042,JJA,82.27323333333334,73.4126,85.699,86.70896666666665,80.21736666666668,85.4694,77.14156666666666,81.15746666666666,80.06923333333333,83.94116666666667,83.62966666666667
2042,SON,79.80380000000001,72.15016666666666,83.7881,81.88416666666667,78.18386666666667,82.51389999999999,75.61113333333333,81.20836666666666,77.89306666666666,80.71353333333333,80.82076666666667
2043,DJF,79.31543333333333,71.40806666666667,82.55810000000001,78.81543333333333,77.69586666666667,80.4257,76.71813333333334,80.8561,77.77803333333334,78.46249999999999,79.59213333333334
2043,MAM,85.9619,73.4699,84.71390000000001,82.5112,80.40143333333333,83.65206666666667,80.44323333333334,85.36196666666666,82.87246666666668,82.54050000000001,81.88193333333334
2043,JJA,84.2043,72.90893333333334,81.76233333333333,81.51146666666666,81.7823,80.77246666666666,79.29316666666666,85.1533,80.6521,80.48303333333332,86.43303333333334
2043,SON,81.19096666666667,72.61806666666666,80.38486666666667,79.00003333333333,79.7708,79.68866666666666,79.99846666666667,81.14113333333334,78.35703333333333,78.22326666666667,83.40010000000001
2044,DJF,79.33813333333333,71.06026666666666,80.5349,78.5619,82.07799999999999,78.80126666666666,77.9116,82.45936666666667,78.02843333333334,78.41443333333332,80.6255
2044,MAM,82.8396,71.54986666666667,86.09586666666667,82.70903333333332,87.57459999999999,83.20253333333334,80.84816666666667,89.72803333333333,81.8023,84.2754,84.31273333333333
