Year,DJF,MAM,JJA,SON,Annual_Mean
2045,78.95991243647583,82.57835123916223,81.5802063651451,79.59510236883571,80.67839310240473
2046,78.97059392522587,82.59397783998965,81.58919922993536,79.60668361851006,80.69011365341524
2047,78.98127541397591,82.60960444081707,81.59819209472562,79.61826486818443,80.70183420442575
2048,78.99195690272595,82.62523104164448,81.60718495951588,79.62984611785879,80.71355475543626
2049,79.002638391476,82.6408576424719,81.61617782430612,79.64142736753315,80.72527530644679
2050,79.01331988022604,82.65648424329932,81.62517068909638,79.65300861720752,80.73699585745732
2051,79.02400136897607,82.67211084412673,81.63416355388664,79.66458986688188,80.74871640846784
2052,79.03468285772612,82.68773744495415,81.64315641867688,79.67617111655625,80.76043695947835
2053,79.04536434647616,82.70336404578157,81.65214928346714,79.68775236623061,80.77215751048887
2054,79.0560458352262,82.71899064660899,81.6611421482574,79.69933361590498,80.7838780614994
2055,79.06672732397624,82.7346172474364,81.67013501304766,79.71091486557934,80.7955986125099
2056,79.07740881272629,82.75024384826382,81.6791278778379,79.7224961152537,80.80731916352043
2057,79.08809030147633,82.76587044909124,81.68812074262816,79.73407736492805,80.81903971453094
2058,79.09877179022638,82.78149704991866,81.69711360741842,79.74565861460243,80.83076026554147
2059,79.10945327897642,82.79712365074607,81.70610647220866,79.75723986427678,80.84248081655198
2060,79.12013476772646,82.81275025157349,81.71509933699892,79.76882111395115,80.8542013675625
2061,79.13081625647649,82.82837685240091,81.72409220178918,79.78040236362551,80.86592191857302
2062,79.14149774522653,82.84400345322832,81.73308506657943,79.79198361329988,80.87764246958355
2063,79.15217923397658,82.85963005405574,81.74207793136968,79.80356486297424,80.88936302059406
2064,79.16286072272662,82.87525665488316,81.75107079615994,79.8151461126486,80.90108357160459
2065,79.17354221147667,82.89088325571058,81.7600636609502,79.82672736232297,80.9128041226151
2066,79.18422370022671,82.90650985653801,81.76905652574044,79.83830861199733,80.92452467362563
2067,79.19490518897675,82.92213645736541,81.7780493905307,79.8498898616717,80.93624522463614
2068,79.20558667772679,82.93776305819284,81.78704225532096,79.86147111134606,80.94796577564667
2069,79.21626816647682,82.95338965902025,81.79603512011121,79.87305236102043,80.95968632665718
2070,79.22694965522687,82.96901625984768,81.80502798490146,79.88463361069478,80.9714068776677
2071,79.23763114397691,82.98464286067508,81.81402084969172,79.89621486036916,80.98312742867822
2072,79.24831263272696,83.00026946150251,81.82301371448197,79.9077961100435,80.99484797968873
2073,79.258994121477,83.01589606232992,81.83200657927222,79.91937735971787,81.00656853069925
2074,79.26967561022704,83.03152266315735,81.84099944406248,79.93095860939223,81.01828908170978
2075,79.28035709897708,83.04714926398475,81.84999230885273,79.9425398590666,81.0300096327203
2076,79.29103858772712,83.06277586481218,81.85898517364299,79.95412110874096,81.0417301837308
2077,79.30172007647717,83.07840246563958,81.86797803843325,79.96570235841533,81.05345073474133
2078,79.3124015652272,83.09402906646702,81.8769709032235,79.97728360808969,81.06517128575184
2079,79.32308305397726,83.10965566729442,81.88596376801375,79.98886485776406,81.07689183676237
2080,79.3337645427273,83.12528226812185,81.894956632804,80.00044610743842,81.08861238777288
